feature,weight
warna ton,0.2769596126832665
ton story,0.2769596126832665
masi,0.27694177370095
alhamdulillah setelah,0.2768726588633715
gede situs,0.2768726588633715
jepe gede,0.2768726588633715
on,0.27678822077440585
santai,0.2767742619394027
jawaban,0.27671027824602523
aloy selalu,0.27637226828544403
face screaming,0.27627219065808545
fear,0.27627219065808545
fear flushed,0.27627219065808545
screaming,0.27627219065808545
in fear,0.27627219065808545
screaming in,0.27627219065808545
cepet,0.27389569729943486
bergabung,0.272358285318019
tunggu,0.27235102614428597
atas,0.2718737402043754
sambil nunggu,0.27022289659847337
aba,0.27021352463212195
mantap,0.269972118585301
kebeli motor,0.2694749517060009
doyan main,0.2694749517060009
berkah sampe,0.2694749517060009
sampe kebeli,0.2694749517060009
energi positif,0.26907921016460484
berkualitas,0.26795045122976646
akhirnya jepe,0.26675096011167265
nyari google,0.2663507287803981
google face,0.2663507287803981
gampang nyari,0.2663507287803981
flushed face,0.2661724433634529
flushed,0.2661724433634529
asyik,0.2655638798100679
dimana,0.26510518595519195
nontonin,0.26399737039203375
super,0.26362717147826725
licin,0.26355876435669423
cepat tanggap,0.2598058769499936
tanggap,0.2598058769499936
doyan,0.25962369267055135
smirking,0.2595989407391882
smirking face,0.2595989407391882
suksesku,0.2585880103247878
buruan ajak,0.2585620691483682
meridians bardi,0.25844827312275576
bardi globe,0.25844827312275576
legend,0.25772423436202563
aku pemenang,0.2573741422149526
pemenang snowflake,0.2573741422149526
cok,0.2571452724015674
menjadi,0.2570445279086474
aja dulu,0.2559599242694247
bardi check,0.25511422464493577
button bardi,0.25511422464493577
hari terima,0.2548740878506302
lebar hari,0.2548740878506302
bos,0.25295562984913644
gas ajak,0.2525000215274347
sambal ijo,0.25210749631435775
main berkah,0.2519824625189754
lazadatoto,0.24954934593240727
lazadatoto fire,0.24954934593240727
gl lazadatoto,0.24954934593240727
gl,0.24954934593240727
coba,0.24810851668123185
cari aja,0.24571279712902455
aja google,0.24571279712902455
terima banyak,0.24555659602088933
senyum lebar,0.24555659602088933
ter,0.2437578484032949
cuan pstoto,0.243267466322273
selalu dinanti,0.24242684005211176
dinanti,0.24242684005211176
dinanti kontennya,0.24242684005211176
rezeki emang,0.24029749948310453
sukaaa bangettt,0.23998861681719982
sukaaa,0.23998861681719982
pencapaian,0.238738677789401
raising,0.23775443269927204
raising hands,0.23775443269927204
enakk,0.2377250518970167
hp pertama,0.23683140387727847
ramtoto,0.2364934487689998
situs ramtoto,0.2364934487689998
makan pedes,0.2363848681486469
depo kecil,0.23459067559490143
red circle,0.23419820355180485
nongkrong,0.23347193545906708
hundred points,0.23274889090901818
hundred,0.23274889090901818
points,0.23274889090901818
main insan,0.23254788238065502
visual,0.232150526569232
